day 0,day 1,day 2,day 3,day 4,day 5,day 6,day 7,day 8,day 9,day 10,day 11,day 12,day 13,day 14,day 15,day 16,day 17,day 18,day 19,day 20,day 21,day 22,day 23,day 24,day 25,day 26,day 27,day 28,day 29,day 30,day 31,day 32,day 33,day 34,day 35,day 36,day 37,day 38,day 39,day 40,day 41,day 42,day 43,day 44,day 45,day 46,day 47,day 48,day 49,day 50,day 51,day 52,day 53,day 54,day 55,day 56,day 57,day 58,day 59,day 60,day 61,day 62,day 63,day 64,day 65,day 66,day 67,day 68,day 69,day 70,day 71,day 72,day 73,day 74,day 75,day 76,day 77,day 78,day 79,day 80,day 81,day 82,day 83,day 84,day 85,day 86,day 87,day 88
51.0,51.2,51.3,51.2,50.8,51.0,51.1,51.6,52.8,53.2,48.7,48.0,48.2,48.4,48.7,48.8,48.8,49.5,50.6,51.1,51.2,51.1,50.9,50.5,49.2,47.7,46.0,45.7,45.7,45.5,45.2,44.9,44.6,45.0,45.0,45.3,45.7,46.2,46.1,46.4,46.7,48.3,49.7,50.3,50.5,50.3,49.9,49.5,48.6,47.5,45.9,44.9,44.8,45.3,45.7,45.7,46.2,46.9,47.3,47.9,48.3,48.8,48.9,48.9,49.7,51.6,52.8,53.4,53.7,53.0,52.6,52.2,51.3,50.2,49.0,47.5,47.8,48.3,49.3,49.8,50.3,50.5,50.8,51.0,51.8,52.5,53.2,53.7,54.8
50.9,50.9,51.2,51.2,51.0,50.8,50.9,50.9,51.4,52.5,48.5,48.1,47.7,48.2,48.5,48.7,48.6,48.5,49.1,50.4,51.1,51.1,51.2,51.1,50.4,49.1,47.7,46.2,45.5,45.2,44.9,44.7,44.5,44.6,44.9,45.0,45.3,46.1,46.0,46.3,46.4,46.9,48.6,49.9,50.3,50.4,50.4,50.2,49.6,48.5,47.8,45.8,44.6,44.9,45.3,45.4,45.9,46.5,47.0,47.6,48.3,48.5,48.8,48.9,49.2,50.2,51.9,52.8,53.5,53.4,52.9,52.7,52.3,51.2,50.6,49.5,47.9,48.1,49.0,49.6,50.1,50.3,50.6,50.9,51.6,52.3,52.9,53.5,53.9
50.7,50.8,51.0,51.0,51.0,50.9,50.7,50.7,50.6,51.0,48.4,47.9,47.8,47.7,48.4,48.5,48.6,48.2,48.1,48.9,50.3,51.0,51.3,51.3,51.0,50.3,49.1,47.8,46.1,45.0,44.6,44.4,44.3,44.5,44.5,44.9,45.1,45.6,46.0,46.3,46.4,46.6,47.2,48.8,49.9,50.3,50.5,50.6,50.3,49.6,48.9,47.6,45.6,44.7,44.9,45.0,45.7,46.2,46.6,47.3,47.9,48.4,48.5,48.7,49.1,49.6,50.5,51.9,53.0,53.3,53.3,53.0,52.7,52.2,51.7,51.1,49.9,48.2,48.6,49.2,49.9,50.0,50.4,50.8,51.6,52.0,52.7,53.1,53.6
50.6,50.6,50.9,50.9,50.7,51.0,50.8,50.5,50.4,50.3,48.3,47.8,47.5,47.8,47.9,48.4,48.3,48.2,48.1,47.9,48.9,50.2,51.1,51.3,51.2,50.8,50.2,49.1,47.7,45.6,44.5,44.0,44.0,44.3,44.4,44.5,44.9,45.5,45.5,46.3,46.3,46.5,46.8,47.4,48.8,49.8,50.4,50.7,50.7,50.3,50.0,48.7,47.3,45.7,44.7,44.7,45.3,45.9,46.2,47.0,47.6,48.0,48.4,48.4,49.0,49.5,49.8,50.5,52.1,52.8,53.1,53.4,53.1,52.7,52.7,52.1,51.4,50.3,48.7,48.8,49.5,49.8,50.1,50.6,51.4,52.0,52.5,52.9,53.3
50.5,50.5,50.7,50.7,50.6,50.7,50.8,50.6,50.1,50.0,47.9,47.7,47.5,47.5,48.0,47.9,48.3,48.0,47.9,47.7,47.8,48.8,50.3,51.0,51.2,51.1,50.8,50.2,49.0,47.2,45.1,44.0,43.6,44.0,44.2,44.4,44.5,45.2,45.4,45.8,46.2,46.5,46.8,47.0,47.3,48.7,49.9,50.5,50.8,50.7,50.7,49.7,48.4,47.5,45.7,44.5,45.0,45.6,46.0,46.6,47.3,47.7,48.0,48.3,48.7,49.3,49.7,49.8,50.5,51.9,52.6,53.1,53.3,53.0,53.2,53.1,52.4,51.9,50.7,48.9,49.0,49.4,49.9,50.4,51.2,51.8,52.5,52.7,53.0
50.3,50.3,50.6,50.6,50.4,50.6,50.5,50.6,50.3,49.9,47.6,47.4,47.4,47.5,47.7,47.9,47.8,47.9,47.7,47.5,47.8,47.7,48.9,50.3,50.9,51.1,51.0,50.8,50.0,48.5,46.7,44.6,43.7,43.7,43.9,44.2,44.3,44.8,45.1,45.7,45.7,46.4,46.7,46.9,46.9,47.3,48.8,50.1,50.7,50.8,51.0,50.4,49.3,48.4,47.4,45.7,44.8,45.3,45.7,46.3,46.9,47.3,47.7,47.9,48.6,49.1,49.6,49.7,49.8,50.3,51.7,52.6,53.1,53.3,53.5,53.6,53.3,52.9,52.3,50.9,49.2,49.0,49.6,50.3,50.9,51.7,52.3,52.7,52.8
50.1,50.1,50.5,50.5,50.4,50.5,50.4,50.1,50.3,49.9,47.4,47.1,47.0,47.4,47.6,47.6,47.8,47.4,47.6,47.3,47.6,47.7,47.7,48.8,50.2,50.8,51.1,51.0,50.5,49.4,48.1,46.2,44.3,43.8,43.7,43.9,44.2,44.6,44.8,45.3,45.7,45.9,46.6,46.8,46.8,46.8,47.4,48.9,50.3,50.7,51.0,50.7,50.1,49.4,48.3,47.4,46.0,45.0,45.2,46.0,46.6,46.9,47.4,47.7,48.3,48.8,49.4,49.6,49.7,49.6,50.2,51.7,52.7,53.1,53.8,54.0,53.8,53.8,53.2,52.5,51.2,49.2,49.2,50.0,50.9,51.4,52.2,52.5,52.8
50.0,49.9,50.2,50.4,50.3,50.4,50.3,50.1,49.9,49.9,47.2,46.9,46.7,47.1,47.5,47.5,47.6,47.3,47.2,47.3,47.5,47.5,47.7,47.7,48.7,50.1,50.8,51.0,50.7,50.0,49.0,47.6,46.0,44.4,43.6,43.7,44.0,44.5,44.6,45.0,45.3,45.9,46.2,46.7,46.7,46.7,46.9,47.5,49.2,50.3,50.9,50.8,50.4,50.2,49.3,48.3,47.7,46.3,45.0,45.6,46.3,46.6,46.9,47.4,48.0,48.6,49.1,49.4,49.6,49.5,49.4,50.2,51.7,52.6,53.5,54.2,54.2,54.3,54.2,53.4,52.6,51.2,49.4,49.6,50.6,51.3,51.9,52.3,52.7
50.6,49.9,50.1,50.1,50.2,50.3,50.2,50.0,49.9,49.5,47.8,46.7,46.5,46.8,47.1,47.4,47.5,47.1,47.2,46.9,47.5,47.4,47.4,47.7,47.6,48.7,50.1,50.7,50.7,50.2,49.5,48.5,47.3,46.0,44.2,43.7,43.7,44.1,44.5,44.9,45.0,45.5,46.1,46.3,46.6,46.7,46.8,47.1,47.7,49.2,50.5,50.7,50.5,50.6,50.0,49.4,48.7,47.9,46.4,45.4,46.0,46.4,46.6,46.9,47.8,48.3,48.8,49.1,49.4,49.4,49.4,49.4,50.2,51.7,53.0,53.9,54.3,54.7,54.7,54.4,53.5,52.6,51.4,49.9,50.2,51.0,51.8,52.0,52.5
52.4,50.5,49.9,49.9,49.9,50.2,50.1,49.8,49.8,49.5,49.3,47.2,46.3,46.6,46.9,47.0,47.3,47.0,46.9,46.9,47.2,47.4,47.4,47.5,47.6,47.6,48.7,50.0,50.5,50.2,49.7,49.0,48.2,47.3,45.8,44.2,43.6,43.8,44.2,44.7,44.8,45.2,45.7,46.2,46.2,46.7,46.9,47.0,47.3,47.8,49.4,50.3,50.4,50.7,50.5,50.0,49.7,48.9,48.0,46.8,45.7,46.1,46.4,46.7,47.4,48.1,48.5,48.8,49.1,49.2,49.3,49.3,49.4,50.1,52.0,53.3,54.1,54.8,55.1,55.0,54.4,53.6,53.0,52.1,50.6,50.7,51.4,51.9,52.2
